,Date,hpi_percentage_change_monthly,Adj Close,Volume,ezb_funds,fed_funds_for_banks,fed_funds_for_customer,Monthly Return,Monthly Return Comparison
0,2023-03-01,6.9,72.377998,10135602.0,3.161290322580645,4.65,7.75,0.1854756027292656,positiv
1,2023-02-01,8.5,72.244003,5824871.0,2.875,4.57,7.5,0.5931688352061082,positiv
2,2023-01-01,8.6,71.818001,6731261.0,2.5,4.33,7.5,4.877484953305502,positiv
3,2022-12-01,9.2,68.477997,6728267.0,2.177419354838709,4.1,7.0,-5.703670929344351,negativ
4,2022-11-01,10.1,72.620003,8034631.0,1.975,3.78,6.25,0.3011007983204828,positiv
5,2022-10-01,10.6,72.402,11679350.0,1.25,3.08,6.25,4.536526002410455,positiv
6,2022-09-01,9.9,69.260002,11304564.0,0.925,2.56,5.5,-5.676307325866048,negativ
7,2022-08-01,9.1,73.428001,8035747.0,0.5,2.33,5.5,-1.9024155093684445,negativ
8,2022-07-01,8.9,74.851997,9847150.0,0.0806451612903225,1.68,4.75,10.261312781389,positiv
9,2022-06-01,8.6,67.886002,10987360.0,0.0,1.21,4.0,-6.353797923376277,negativ
10,2022-05-01,8.1,72.491997,10734418.0,0.0,0.77,3.5,-3.4598470347501435,negativ
11,2022-04-01,7.4,75.089996,10364008.0,0.0,0.33,3.5,-2.6044826065526987,negativ
12,2022-03-01,7.4,77.098,16536926.0,0.0,0.2,3.25,4.678759572041489,positiv
13,2022-02-01,5.9,73.652,21606509.0,0.0,0.08,3.25,-1.7108362481873731,negativ
14,2022-01-01,5.1,74.933998,18793358.0,0.0,0.08,3.25,-5.441289012914496,negativ
15,2021-12-01,5.0,79.246002,11783850.0,0.0,0.08,3.25,4.002838784225408,positiv
16,2021-11-01,4.9,76.195999,9895153.0,0.0,0.08,3.25,0.6445804934749327,positiv
17,2021-10-01,4.1,75.708,8102372.0,0.0,0.08,3.25,5.129558141472495,positiv
18,2021-09-01,3.4,72.014,8076837.0,0.0,0.08,3.25,-1.9337065101644155,negativ
19,2021-08-01,3.0,73.433998,7276449.0,0.0,0.09,3.25,3.114461506636369,positiv
20,2021-07-01,2.2,71.216003,8410984.0,0.0,0.1,3.25,1.833164178601656,positiv
21,2021-06-01,1.9,69.933998,6275746.0,0.0,0.08,3.25,4.738656795206983,positiv
22,2021-05-01,2.0,66.769997,7636691.0,0.0,0.06,3.25,-0.2986471509833078,negativ
23,2021-04-01,1.6,66.970001,7249398.0,0.0,0.07,3.25,1.942340244162319,positiv
24,2021-03-01,1.3,65.694,8767454.0,0.0,0.07,3.25,6.1498190279214136,positiv
25,2021-02-01,0.9,61.888,6523875.0,0.0,0.08,3.25,3.205149584764696,positiv
26,2021-01-01,0.9,59.966,9271385.0,0.0,0.09,3.25,0.4253717703184744,positiv
27,2020-12-01,-0.3,59.712002,5950417.0,0.0,0.09,3.25,1.918483274416548,positiv
28,2020-11-01,-0.3,58.588001,9148926.0,0.0,0.09,3.25,9.592222401650242,positiv
29,2020-10-01,-0.3,53.459999,5141356.0,0.0,0.09,3.25,-2.743414400076662,negativ
30,2020-09-01,-0.3,54.967999,6675954.0,0.0,0.09,3.25,-1.250362869172843,negativ
31,2020-08-01,-0.2,55.664001,4518274.0,0.0,0.1,3.25,5.962080142349799,positiv
32,2020-07-01,0.4,52.532001,7197070.0,0.0,0.09,3.25,-0.3150043525369356,negativ
33,2020-06-01,0.3,52.698002,9588310.0,0.0,0.08,3.25,1.702176868064821,positiv
34,2020-05-01,0.1,51.816002,7082412.0,0.0,0.05,3.25,2.4922897381121927,positiv
35,2020-04-01,0.3,50.556,11014791.0,0.0,0.05,3.25,9.644535564758815,positiv
36,2020-03-01,0.7,46.109001,19125311.0,0.0,0.65,4.75,-10.835010796913256,negativ
37,2020-02-01,1.2,51.712002,7277632.0,0.0,1.58,4.75,-8.880739161276063,negativ
38,2020-01-01,1.4,56.751999,4828506.0,0.0,1.55,4.75,0.2543756976266338,positiv
39,2019-12-01,1.3,56.608002,5588266.0,0.0,1.55,4.75,1.5390170403587426,positiv
40,2019-11-01,1.0,55.75,3396954.0,0.0,1.55,4.75,4.400745153530143,positiv
41,2019-10-01,0.7,53.400002,3467251.0,0.0,1.83,5.0,-0.0898069117719345,negativ
42,2019-09-01,0.8,53.448002,3098792.0,0.0,2.04,5.25,3.229297295478655,positiv
43,2019-08-01,1.0,51.776001,4174215.0,0.0,2.13,5.25,-1.64881084931216,negativ
44,2019-07-01,1.0,52.644001,3327311.0,0.0,2.4,5.5,3.609525612880825,positiv
45,2019-06-01,1.3,50.810001,2817706.0,0.0,2.38,5.5,3.897435872268853,positiv
46,2019-05-01,1.2,48.903999,3947384.0,0.0,2.39,5.5,-4.785641135469809,negativ
47,2019-04-01,1.7,51.362,2864661.0,0.0,2.42,5.5,3.644361933973696,positiv
48,2019-03-01,1.4,49.556,3809025.0,0.0,2.41,5.5,2.502790251462569,positiv
49,2019-02-01,1.5,48.346001,2828657.0,0.0,2.4,5.5,3.976598319177652,positiv
50,2019-01-01,1.4,46.497002,3570703.0,0.0,2.4,5.5,7.884180790370567,positiv
51,2018-12-01,1.5,43.098999,4320733.0,0.0,2.27,5.25,-8.372132754472712,negativ
52,2018-11-01,1.9,47.036999,3950996.0,0.0,2.2,5.25,0.4184347046390992,positiv
53,2018-10-01,2.3,46.841,3942736.0,0.0,2.19,5.25,-4.910674174205208,negativ
54,2018-09-01,2.1,49.259998,3313761.0,0.0,1.95,5.0,0.7279547834114838,positiv
55,2018-08-01,2.1,48.903999,2303423.0,0.0,1.91,5.0,1.88969511054044,positiv
56,2018-07-01,2.2,47.997002,2098894.0,0.0,1.91,5.0,2.4723008076111586,positiv
57,2018-06-01,2.0,46.839001,2669248.0,0.0,1.82,4.75,0.2096660274776872,positiv
58,2018-05-01,2.0,46.741001,3290529.0,0.0,1.7,4.75,3.6431792984167775,positiv
59,2018-04-01,1.2,45.098,2367604.0,0.0,1.69,4.75,3.905260005068776,positiv
60,2018-03-01,1.4,43.403,4122275.0,0.0,1.51,4.5,-3.662355366737952,negativ
61,2018-02-01,1.1,45.053001,5112398.0,0.0,1.42,4.5,-1.778974945583618,negativ
62,2018-01-01,1.3,45.868999,2628581.0,0.0,1.41,4.5,0.9663196125908048,positiv
63,2017-12-01,1.3,45.43,2505826.0,0.0,1.3,4.25,1.4062522635324168,positiv
64,2017-11-01,1.5,44.799999,1723896.0,0.0,1.16,4.25,-0.2004900913452981,negativ
65,2017-10-01,1.4,44.889999,2010868.0,0.0,1.15,4.25,3.409350380096768,positiv
66,2017-09-01,1.6,43.41,1724227.0,0.0,1.15,4.25,2.8672961405853905,positiv
67,2017-08-01,1.5,42.200001,2033939.0,0.0,1.16,4.25,-0.8225570111059212,negativ
68,2017-07-01,1.3,42.549999,1658620.0,0.0,1.15,4.25,-0.8158577708224838,negativ
69,2017-06-01,1.3,42.900002,2378635.0,0.0,1.04,4.0,-0.9466612572925112,negativ
70,2017-05-01,1.4,43.310001,3369549.0,0.0,0.91,4.0,-1.1187169205186511,negativ
