Date,Adj Close,FEDFUNDS,PRIME
2009-10-01,16.75,0.12,3.25
2009-11-01,16.855,0.12,3.25
2009-12-01,18.01,0.12,3.25
2010-01-01,17.940001,0.11,3.25
2010-02-01,18.370001,0.13,3.25
2010-03-01,19.67,0.16,3.25
2010-04-01,20.09,0.2,3.25
2010-05-01,19.559999,0.2,3.25
2010-06-01,19.02,0.18,3.25
2010-07-01,19.209999,0.18,3.25
2010-08-01,19.4,0.19,3.25
2010-09-01,19.440001,0.19,3.25
2010-10-01,19.559999,0.19,3.25
2010-11-01,20.49,0.19,3.25
2010-12-01,21.5,0.18,3.25
2011-01-01,21.34,0.17,3.25
2011-02-01,21.879999,0.16,3.25
2011-03-01,21.040001,0.14,3.25
2011-04-01,20.969999,0.1,3.25
2011-05-01,21.190001,0.09,3.25
2011-06-01,20.73,0.09,3.25
2011-07-01,20.59,0.07,3.25
2011-08-01,19.09,0.1,3.25
2011-09-01,18.709999,0.08,3.25
2011-10-01,19.889999,0.07,3.25
2011-11-01,19.99,0.08,3.25
2011-12-01,20.799999,0.07,3.25
2012-01-01,21.58,0.08,3.25
2012-02-01,22.209999,0.1,3.25
2012-03-01,22.530001,0.13,3.25
2012-04-01,22.389999,0.14,3.25
2012-05-01,21.84,0.16,3.25
2012-06-01,22.41,0.16,3.25
2012-07-01,23.450001,0.16,3.25
2012-08-01,23.540001,0.13,3.25
2012-09-01,23.549999,0.14,3.25
2012-10-01,23.190001,0.16,3.25
2012-11-01,23.440001,0.16,3.25
2012-12-01,23.389999,0.16,3.25
2013-01-01,24.059999,0.14,3.25
2013-02-01,25.01,0.15,3.25
2013-03-01,26.07,0.14,3.25
2013-04-01,26.16,0.15,3.25
2013-05-01,26.860001,0.11,3.25
2013-06-01,26.01,0.09,3.25
2013-07-01,26.860001,0.09,3.25
2013-08-01,26.25,0.08,3.25
2013-09-01,26.969999,0.08,3.25
2013-10-01,27.99,0.09,3.25
2013-11-01,28.41,0.08,3.25
2013-12-01,28.51,0.09,3.25
2014-01-01,28.059999,0.07,3.25
2014-02-01,28.92,0.07,3.25
2014-03-01,28.92,0.08,3.25
2014-04-01,29.02,0.09,3.25
2014-05-01,30.1,0.09,3.25
2014-06-01,30.559999,0.1,3.25
2014-07-01,30.83,0.09,3.25
2014-08-01,31.969999,0.09,3.25
2014-09-01,32.560001,0.09,3.25
2014-10-01,32.950001,0.09,3.25
2014-11-01,33.889999,0.09,3.25
2014-12-01,34.32,0.12,3.25
2015-01-01,36.07,0.11,3.25
2015-02-01,38.439999,0.11,3.25
2015-03-01,39.52,0.11,3.25
2015-04-01,38.84,0.12,3.25
2015-05-01,39.580002,0.12,3.25
2015-06-01,38.139999,0.13,3.25
2015-07-01,39.279999,0.13,3.25
2015-08-01,36.080002,0.14,3.25
2015-09-01,34.779999,0.14,3.25
2015-10-01,38.169998,0.12,3.25
2015-11-01,39.66,0.12,3.25
2015-12-01,38.029999,0.24,3.25
2016-01-01,35.450001,0.34,3.5
2016-02-01,35.59,0.38,3.5
2016-03-01,35.990002,0.36,3.5
2016-04-01,36.049999,0.37,3.5
2016-05-01,37.560001,0.37,3.5
2016-06-01,37.139999,0.38,3.5
2016-07-01,38.57,0.39,3.5
2016-08-01,38.669998,0.4,3.5
2016-09-01,38.709999,0.4,3.5
2016-10-01,38.91,0.4,3.5
2016-11-01,41.0,0.41,3.5
2016-12-01,42.18,0.54,3.5
2017-01-01,41.77,0.65,3.75
2017-02-01,43.860001,0.66,3.75
2017-03-01,44.07,0.79,3.75
2017-04-01,43.799999,0.9,4.0
2017-05-01,43.310001,0.91,4.0
2017-06-01,42.900002,1.04,4.0
2017-07-01,42.549999,1.15,4.25
2017-08-01,42.200001,1.16,4.25
2017-09-01,43.41,1.15,4.25
2017-10-01,44.889999,1.15,4.25
2017-11-01,44.799999,1.16,4.25
2017-12-01,45.43,1.3,4.25
2018-01-01,45.868999,1.41,4.5
2018-02-01,45.053001,1.42,4.5
2018-03-01,43.403,1.51,4.5
2018-04-01,45.098,1.69,4.75
2018-05-01,46.741001,1.7,4.75
2018-06-01,46.839001,1.82,4.75
2018-07-01,47.997002,1.91,5.0
2018-08-01,48.903999,1.91,5.0
2018-09-01,49.259998,1.95,5.0
2018-10-01,46.841,2.19,5.25
2018-11-01,47.036999,2.2,5.25
2018-12-01,43.098999,2.27,5.25
2019-01-01,46.497002,2.4,5.5
2019-02-01,48.346001,2.4,5.5
2019-03-01,49.556,2.41,5.5
2019-04-01,51.362,2.42,5.5
2019-05-01,48.903999,2.39,5.5
2019-06-01,50.810001,2.38,5.5
2019-07-01,52.644001,2.4,5.5
2019-08-01,51.776001,2.13,5.25
2019-09-01,53.448002,2.04,5.25
2019-10-01,53.400002,1.83,5.0
2019-11-01,55.75,1.55,4.75
2019-12-01,56.608002,1.55,4.75
2020-01-01,56.751999,1.55,4.75
2020-02-01,51.712002,1.58,4.75
